N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost_AP	s_AP	S_AP	Sigma	sigma	Simu_AP	Simu_PL_0	Simu_PL_s	Simu_PL_S
12	1	2	2	1	3	200	3	29	830.564335	2	33	8	4	830.50509	879.20798	843.21288	854.87954
12	1	2	2	1	3	200	5	9	779.740486	-4	24	8	2	779.96876	798.13391	795.01335	820.83341
12	1	2	2	1	3	200	5	19	914.8920318	0	22	8	3	915.18489	964.48191	940.39625	970.47742
12	1	2	2	1	3	200	5	29	969.7653417	2	23	8	3	969.99543	1043.30946	998.71887	1027.99
12	1	2	3	1	2	50	1	9	262.9662504	4	28	10	5	263.01062	279.5087	267.86437	271.77656
12	1	2	3	1	2	50	1	19	306.7858056	6	28	10	6	306.83508	330.81194	312.16072	315.85189
12	1	2	3	1	2	50	1	29	343.6656347	7	29	10	6	343.45855	375.88316	349.36373	352.84457
12	1	2	3	1	2	50	3	9	359.5288095	3	18	10	4	359.56459	389.30365	377.27431	393.1516
12	1	2	3	1	2	50	3	19	423.0725233	5	19	10	5	423.00509	474.65165	444.46808	460.51065
12	1	2	3	1	2	50	3	29	470.9479882	6	20	10	5	471.04458	537.12543	493.84873	509.69052
12	1	2	3	1	2	50	5	9	405.5030464	3	15	10	3	405.72986	440.2859	433.90037	455.81667
12	1	2	3	1	2	50	5	19	483.258582	5	16	10	4	483.28618	547.04429	520.47641	544.02977
12	1	2	3	1	2	50	5	29	539.7704096	6	17	10	5	539.93123	621.03814	581.31268	605.48138
12	1	2	3	1	2	100	1	9	370.244469	4	35	10	5	370.27058	384.17108	373.83796	376.84076
12	1	2	3	1	2	100	1	19	417.9503047	6	38	10	6	418.01702	439.02779	421.57548	424.37792
12	1	2	3	1	2	100	1	29	456.558479	7	39	10	6	456.56621	482.19293	460.26602	462.84313
12	1	2	3	1	2	100	3	9	522.989988	2	22	10	4	523.27723	547.62718	537.18562	552.47761
12	1	2	3	1	2	100	3	19	597.407619	4	24	10	5	597.56305	641.34874	613.55902	627.28442
12	1	2	3	1	2	100	3	29	649.9472902	5	25	10	5	650.09915	707.21813	666.93585	680.10152
12	1	2	3	1	2	100	5	9	595.7273676	1	19	10	3	595.47276	623.28699	617.26924	644.69561
12	1	2	3	1	2	100	5	19	693.0037224	4	20	10	4	693.05161	750.01551	722.34287	749.86477
12	1	2	3	1	2	100	5	29	756.409351	5	20	10	5	755.89686	833.16707	788.50165	815.15644
12	1	2	3	1	2	200	1	9	543.6640557	0	63	10	5	543.84466	551.35093	545.69949	547.34455
12	1	2	3	1	2	200	1	19	606.4437939	4	66	10	6	606.41468	619.09585	608.29611	609.96354
12	1	2	3	1	2	200	1	29	651.1064915	5	68	10	6	651.18178	666.35922	652.97199	654.63777
12	1	2	3	1	2	200	3	9	757.28055	0	30	10	4	757.42955	774.57923	766.98659	777.48239
12	1	2	3	1	2	200	3	19	854.4547651	3	33	10	5	854.11273	886.99698	864.79975	874.36218
12	1	2	3	1	2	200	3	29	916.7251262	4	35	10	5	916.9075	961.82908	928.11347	937.18898
12	1	2	3	1	2	200	5	9	861.6499143	-3	25	10	3	861.80556	879.90123	875.92079	895.74592
12	1	2	3	1	2	200	5	19	1007.338107	2	24	10	4	1007.71881	1054.64045	1030.40373	1053.88087
12	1	2	3	1	2	200	5	29	1080.393672	4	25	10	5	1080.26798	1147.23913	1105.82318	1128.47103
12	1	2	4	1	1	50	1	9	291.8591121	6	30	11	6	291.86284	300.95617	294.79533	296.63216
12	1	2	4	1	1	50	1	19	348.2645447	8	31	11	7	348.29186	360.21398	351.38728	353.03672
12	1	2	4	1	1	50	1	29	396.6496287	9	31	11	8	396.60713	409.91697	399.86262	401.49464
12	1	2	4	1	1	50	3	9	411.8380259	5	19	11	5	411.78501	430.27146	422.90703	430.65846
12	1	2	4	1	1	50	3	19	495.5944704	7	21	11	6	495.99814	524.02124	508.82208	516.73692
12	1	2	4	1	1	50	3	29	558.8485374	8	22	11	7	558.8599	593.25651	572.79544	580.29272
12	1	2	4	1	1	50	5	9	472.8351633	4	16	11	4	472.90101	494.9934	490.66397	500.52442
12	1	2	4	1	1	50	5	19	578.7898425	7	18	11	5	578.87259	614.56561	601.77463	613.61478
12	1	2	4	1	1	50	5	29	654.4735407	8	18	11	6	653.96902	699.22961	679.67112	691.22536
12	1	2	4	1	1	100	1	9	399.1419364	6	37	11	6	399.09314	407.27864	401.25016	402.67715
12	1	2	4	1	1	100	1	19	459.4353979	8	40	11	7	459.33597	470.59499	461.43587	462.7523
12	1	2	4	1	1	100	1	29	509.3040446	9	41	11	8	509.67152	521.89415	511.76204	513.01756
12	1	2	4	1	1	100	3	9	577.1711119	4	24	11	5	577.30966	592.94491	585.92041	593.19406
12	1	2	4	1	1	100	3	19	671.3772737	6	26	11	6	671.48367	696.76659	681.05383	687.74114
12	1	2	4	1	1	100	3	29	739.0980739	7	27	11	7	739.1635	770.39969	749.2751	755.4566
12	1	2	4	1	1	100	5	9	666.3053133	2	20	11	4	666.25174	684.71839	680.32422	693.31608
12	1	2	4	1	1	100	5	19	790.9250548	5	21	11	5	791.11113	825.65332	809.15893	822.42208
12	1	2	4	1	1	100	5	29	873.8306135	7	22	11	6	873.42541	916.32366	893.30955	906.52553
12	1	2	4	1	1	200	1	9	572.6394168	2	65	11	6	572.5062	577.13859	573.60344	574.38688
12	1	2	4	1	1	200	1	19	647.3753229	6	68	11	7	647.82677	655.25216	648.93976	649.73726
12	1	2	4	1	1	200	1	29	702.9968276	7	70	11	8	702.65182	711.4597	703.66302	704.46963
12	1	2	4	1	1	200	3	9	812.7408955	1	31	11	5	813.30653	824.6702	819.2813	824.37626
12	1	2	4	1	1	200	3	19	929.3668519	5	35	11	6	929.09813	949.41407	935.5837	940.19033
12	1	2	4	1	1	200	3	29	1006.306635	6	36	11	7	1006.09709	1032.20144	1012.87489	1017.23643
12	1	2	4	1	1	200	5	9	947.2096178	-1	26	11	4	947.07683	959.02262	956.07705	965.79363
12	1	2	4	1	1	200	5	19	1107.228011	4	25	11	5	1107.18288	1137.52379	1121.68512	1133.10907
12	1	2	4	1	1	200	5	29	1199.337141	6	26	11	6	1199.69766	1239.03181	1215.32314	1226.35952
12	1	2	5	1	0	50	1	9	322.1931545	8	32	13	8	322.29705	322.29705	322.29705	322.29705
12	1	2	5	1	0	50	1	19	391.0775813	10	33	13	9	390.92483	390.92483	390.92483	390.92483
12	1	2	5	1	0	50	1	29	450.7020302	12	33	13	9	450.75018	450.75018	450.75018	450.75018
12	1	2	5	1	0	50	3	9	470.2057628	6	21	13	6	470.11813	470.11813	470.11813	470.11813
12	1	2	5	1	0	50	3	19	574.7250738	9	23	13	7	574.51348	574.51348	574.51348	574.51348
12	1	2	5	1	0	50	3	29	653.3710984	10	24	13	8	653.77462	653.77462	653.77462	653.77462
12	1	2	5	1	0	50	5	9	549.8250593	6	18	13	5	549.74122	549.74122	549.74122	549.74122
12	1	2	5	1	0	50	5	19	684.8228312	8	19	13	6	684.65558	684.65558	684.65558	684.65558
12	1	2	5	1	0	50	5	29	782.075764	9	20	13	7	782.00188	782.00188	782.00188	782.00188
12	1	2	5	1	0	100	1	9	429.1555299	8	39	13	8	429.11172	429.11172	429.11172	429.11172
12	1	2	5	1	0	100	1	19	501.8169078	10	42	13	9	502.25998	502.25998	502.25998	502.25998
12	1	2	5	1	0	100	1	29	562.8194554	11	43	13	9	562.84597	562.84597	562.84597	562.84597
12	1	2	5	1	0	100	3	9	635.3398867	5	25	13	6	635.39752	635.39752	635.39752	635.39752
12	1	2	5	1	0	100	3	19	750.3568186	8	28	13	7	750.2642	750.2642	750.2642	750.2642
12	1	2	5	1	0	100	3	29	833.136251	9	29	13	8	832.49106	832.49106	832.49106	832.49106
12	1	2	5	1	0	100	5	9	743.8921328	3	21	13	5	743.75691	743.75691	743.75691	743.75691
12	1	2	5	1	0	100	5	19	897.864503	7	23	13	6	898.63199	898.63199	898.63199	898.63199
12	1	2	5	1	0	100	5	29	1001.396897	8	24	13	7	1001.18896	1001.18896	1001.18896	1001.18896
12	1	2	5	1	0	200	1	9	602.2003548	4	67	13	8	602.25196	602.25196	602.25196	602.25196
12	1	2	5	1	0	200	1	19	688.8538501	8	70	13	9	688.87967	688.87967	688.87967	688.87967
12	1	2	5	1	0	200	1	29	755.3833634	9	72	13	9	755.48729	755.48729	755.48729	755.48729
12	1	2	5	1	0	200	3	9	871.2196781	3	33	13	6	871.47135	871.47135	871.47135	871.47135
12	1	2	5	1	0	200	3	19	1007.648772	6	37	13	7	1008.00604	1008.00604	1008.00604	1008.00604
12	1	2	5	1	0	200	3	29	1099.252158	8	38	13	8	1098.51247	1098.51247	1098.51247	1098.51247
12	1	2	5	1	0	200	5	9	1032.334473	0	27	13	5	1032.73498	1032.73498	1032.73498	1032.73498
12	1	2	5	1	0	200	5	19	1214.2388	5	27	13	6	1214.36626	1214.36626	1214.36626	1214.36626
12	1	2	5	1	0	200	5	29	1326.318188	7	28	13	7	1326.41489	1326.41489	1326.41489	1326.41489
12	2	2	0	1	5	50	1	9	184.0558821	5	33	0	0	183.97217	183.97217	183.97217	183.97217
12	2	2	0	1	5	50	1	19	204.1288468	7	34	0	0	204.10004	204.10004	204.10004	204.10004
12	2	2	0	1	5	50	1	29	219.3334025	7	34	0	0	219.41571	219.41571	219.41571	219.41571
12	2	2	0	1	5	50	3	9	236.7352674	4	22	0	0	236.6644	236.6644	236.6644	236.6644
12	2	2	0	1	5	50	3	19	265.4506201	6	23	0	0	265.31662	265.31662	265.31662	265.31662
12	2	2	0	1	5	50	3	29	285.7211115	7	23	0	0	286.0324	286.0324	286.0324	286.0324
12	2	2	0	1	5	50	5	9	260.8037536	4	19	0	0	260.64537	260.64537	260.64537	260.64537
12	2	2	0	1	5	50	5	19	294.686669	6	20	0	0	294.783	294.783	294.783	294.783
12	2	2	0	1	5	50	5	29	317.4511942	7	20	0	0	317.53149	317.53149	317.53149	317.53149
12	2	2	0	1	5	100	1	9	285.8273928	5	34	0	0	285.68945	285.68945	285.68945	285.68945
12	2	2	0	1	5	100	1	19	307.5325305	6	36	0	0	307.53625	307.53625	307.53625	307.53625
