N	L	T	lambda0	lambda1	lambda2	K	h	b	Cost	s	S
12	2	2	1	1	4	200	5	9	943.2751952	-2	25	
12	2	2	1	1	4	200	5	19	1127.761875	3	27	
12	2	2	1	1	4	200	5	29	1227.172704	5	27	
12	2	2	2	1	3	50	1	9	323.6459925	8	35	
12	2	2	2	1	3	50	1	19	412.2151622	10	36	
12	2	2	2	1	3	50	1	29	491.5286321	11	37	
12	2	2	2	1	3	50	3	9	471.6392205	6	21	
12	2	2	2	1	3	50	3	19	594.8829822	9	22	
12	2	2	2	1	3	50	3	29	692.2724567	10	23	
12	2	2	2	1	3	50	5	9	551.6794604	5	17	
12	2	2	2	1	3	50	5	19	706.7388436	8	19	
12	2	2	2	1	3	50	5	29	822.7345434	9	20	
12	2	2	2	1	3	100	1	9	426.3187618	8	36	
12	2	2	2	1	3	100	1	19	516.8555035	10	39	
12	2	2	2	1	3	100	1	29	596.861632	11	40	
12	2	2	2	1	3	100	3	9	625.3067331	4	25	
12	2	2	2	1	3	100	3	19	757.1525851	8	27	
12	2	2	2	1	3	100	3	29	858.1033404	9	28	
12	2	2	2	1	3	100	5	9	728.8518629	3	20	
12	2	2	2	1	3	100	5	19	901.2117876	7	23	
12	2	2	2	1	3	100	5	29	1023.57149	8	24	
12	2	2	2	1	3	200	1	9	571.24637	4	62	
12	2	2	2	1	3	200	1	19	674.4790831	8	66	
12	2	2	2	1	3	200	1	29	759.6492332	9	67	
12	2	2	2	1	3	200	3	9	839.8635823	3	31	
12	2	2	2	1	3	200	3	19	988.3837888	7	34	
12	2	2	2	1	3	200	3	29	1096.273527	8	36	
12	2	2	2	1	3	200	5	9	986.9432812	0	27	
12	2	2	2	1	3	200	5	19	1193.612099	5	29	
12	2	2	2	1	3	200	5	29	1326.376023	7	30	
12	2	2	3	1	2	50	1	9	353.0860477	10	37	
12	2	2	3	1	2	50	1	19	472.7339921	12	39	
12	2	2	3	1	2	50	1	29	582.7082953	14	40	
12	2	2	3	1	2	50	3	9	504.8172878	8	23	
12	2	2	3	1	2	50	3	19	661.2185945	11	25	
12	2	2	3	1	2	50	3	29	790.4606517	12	26	
12	2	2	3	1	2	50	5	9	587.7802676	7	19	
12	2	2	3	1	2	50	5	19	777.3344052	10	21	
12	2	2	3	1	2	50	5	29	926.4341746	11	22	
12	2	2	3	1	2	100	1	9	455.6504284	10	39	
12	2	2	3	1	2	100	1	19	577.0124981	12	41	
12	2	2	3	1	2	100	1	29	687.6381333	13	43	
12	2	2	3	1	2	100	3	9	657.3370782	6	28	
12	2	2	3	1	2	100	3	19	821.8910901	10	29	
12	2	2	3	1	2	100	3	29	954.556986	11	30	
12	2	2	3	1	2	100	5	9	762.7643412	5	23	
12	2	2	3	1	2	100	5	19	969.319985	9	25	
12	2	2	3	1	2	100	5	29	1124.448505	10	26	
12	2	2	3	1	2	200	1	9	599.5374501	7	64	
12	2	2	3	1	2	200	1	19	733.3764672	10	68	
12	2	2	3	1	2	200	1	29	848.9960192	11	70	
12	2	2	3	1	2	200	3	9	870.6481492	5	33	
12	2	2	3	1	2	200	3	19	1051.356937	9	37	
12	2	2	3	1	2	200	3	29	1190.70735	10	38	
12	2	2	3	1	2	200	5	9	1018.670235	2	29	
12	2	2	3	1	2	200	5	19	1258.778428	7	32	
12	2	2	3	1	2	200	5	29	1424.904305	9	32	
12	2	2	4	1	1	50	1	9	382.4808009	12	39	
12	2	2	4	1	1	50	1	19	533.1313797	15	41	
12	2	2	4	1	1	50	1	29	673.5716165	16	42	
12	2	2	4	1	1	50	3	9	537.7908669	10	25	
12	2	2	4	1	1	50	3	19	726.9458628	13	27	
12	2	2	4	1	1	50	3	29	887.8293131	14	28	
12	2	2	4	1	1	50	5	9	623.6147584	9	21	
12	2	2	4	1	1	50	5	19	847.4806365	12	23	
12	2	2	4	1	1	50	5	29	1029.103403	14	24	
12	2	2	4	1	1	100	1	9	484.9181838	12	41	
12	2	2	4	1	1	100	1	19	637.1426487	14	43	
12	2	2	4	1	1	100	1	29	778.2142643	16	45	
12	2	2	4	1	1	100	3	9	689.2087811	8	30	
12	2	2	4	1	1	100	3	19	886.4044993	12	31	
12	2	2	4	1	1	100	3	29	1050.552371	13	32	
12	2	2	4	1	1	100	5	9	796.5638242	7	25	
12	2	2	4	1	1	100	5	19	1037.070699	11	27	
12	2	2	4	1	1	100	5	29	1224.622812	12	28	
12	2	2	4	1	1	200	1	9	627.8217304	9	66	
12	2	2	4	1	1	200	1	19	792.2635515	12	70	
12	2	2	4	1	1	200	1	29	938.2295822	14	72	
12	2	2	4	1	1	200	3	9	901.4082041	7	35	
12	2	2	4	1	1	200	3	19	1114.089	11	39	
12	2	2	4	1	1	200	3	29	1285.025145	12	40	
12	2	2	4	1	1	200	5	9	1050.379531	4	31	
12	2	2	4	1	1	200	5	19	1323.751016	9	34	
12	2	2	4	1	1	200	5	29	1522.839483	11	35	
12	2	2	5	1	0	50	1	9	411.8373648	14	41	
12	2	2	5	1	0	50	1	19	593.379979	17	43	
12	2	2	5	1	0	50	1	29	764.094741	18	45	
12	2	2	5	1	0	50	3	9	570.5490606	12	28	
12	2	2	5	1	0	50	3	19	792.3867957	15	29	
12	2	2	5	1	0	50	3	29	984.5741212	17	30	
12	2	2	5	1	0	50	5	9	659.1074126	11	24	
12	2	2	5	1	0	50	5	19	916.9669491	14	26	
12	2	2	5	1	0	50	5	29	1130.578373	16	27	
12	2	2	5	1	0	100	1	9	514.1562888	14	43	
12	2	2	5	1	0	100	1	19	697.1425557	17	46	
12	2	2	5	1	0	100	1	29	868.6092641	18	47	
12	2	2	5	1	0	100	3	9	720.9708527	10	32	
12	2	2	5	1	0	100	3	19	950.7179659	14	33	
12	2	2	5	1	0	100	3	29	1146.308529	16	35	
12	2	2	5	1	0	100	5	9	830.2857782	9	27	
12	2	2	5	1	0	100	5	19	1104.541295	13	29	
12	2	2	5	1	0	100	5	29	1324.274215	15	31	
12	2	2	5	1	0	200	1	9	656.0996996	11	68	
12	2	2	5	1	0	200	1	19	851.143361	14	72	
12	2	2	5	1	0	200	1	29	1027.459776	16	74	
12	2	2	5	1	0	200	3	9	932.1415026	9	37	
12	2	2	5	1	0	200	3	19	1176.738638	13	41	
12	2	2	5	1	0	200	3	29	1379.159517	14	43	
12	2	2	5	1	0	200	5	9	1082.057837	6	33	
12	2	2	5	1	0	200	5	19	1388.562127	11	36	
12	2	2	5	1	0	200	5	29	1620.287358	13	37	
12	3	2	0	1	5	50	1	9	308.2954435	10	35	
12	3	2	0	1	5	50	1	19	405.8096106	13	37	
12	3	2	0	1	5	50	1	29	494.6825185	14	39	
12	3	2	0	1	5	50	3	9	445.6081161	8	23	
12	3	2	0	1	5	50	3	19	576.7107173	11	25	
12	3	2	0	1	5	50	3	29	683.0839665	12	26	
12	3	2	0	1	5	50	5	9	520.9097858	7	19	
12	3	2	0	1	5	50	5	19	681.438235	10	21	
12	3	2	0	1	5	50	5	29	805.6003705	11	22	
12	3	2	0	1	5	100	1	9	409.4831828	9	36	
12	3	2	0	1	5	100	1	19	508.1489763	12	39	
12	3	2	0	1	5	100	1	29	597.4843742	13	40	
12	3	2	0	1	5	100	3	9	582.0263058	6	29	
12	3	2	0	1	5	100	3	19	723.939824	10	31	
12	3	2	0	1	5	100	3	29	834.4199764	11	31	
12	3	2	0	1	5	100	5	9	680.7178624	5	22	
12	3	2	0	1	5	100	5	19	854.8714206	9	25	
12	3	2	0	1	5	100	5	29	984.0573675	10	26	
12	3	2	0	1	5	200	1	9	527.2542335	7	59	
12	3	2	0	1	5	200	1	19	636.9136645	10	63	
12	3	2	0	1	5	200	1	29	730.7646323	12	65	
12	3	2	0	1	5	200	3	9	785.6399246	6	31	
12	3	2	0	1	5	200	3	19	934.7377889	9	34	
12	3	2	0	1	5	200	3	29	1048.832819	11	36	
12	3	2	0	1	5	200	5	9	907.497356	3	27	
12	3	2	0	1	5	200	5	19	1109.457984	7	31	
12	3	2	0	1	5	200	5	29	1250.352669	9	33	
12	3	2	1	1	4	50	1	9	355.5294965	13	37	
12	3	2	1	1	4	50	1	19	503.8628274	15	40	
12	3	2	1	1	4	50	1	29	643.1377601	16	41	
12	3	2	1	1	4	50	3	9	496.0136351	10	25	
12	3	2	1	1	4	50	3	19	679.481849	13	27	
12	3	2	1	1	4	50	3	29	837.3821932	14	28	
12	3	2	1	1	4	50	5	9	573.8494938	9	21	
12	3	2	1	1	4	50	5	19	788.2683285	12	23	
12	3	2	1	1	4	50	5	29	964.6728276	14	24	
12	3	2	1	1	4	100	1	9	456.6470568	11	38	
12	3	2	1	1	4	100	1	19	606.0470758	14	41	
12	3	2	1	1	4	100	1	29	745.8301643	15	42	
12	3	2	1	1	4	100	3	9	631.0640671	8	31	
12	3	2	1	1	4	100	3	19	825.2722326	12	33	
12	3	2	1	1	4	100	3	29	987.1305689	13	34	
12	3	2	1	1	4	100	5	9	732.1106846	7	24	
12	3	2	1	1	4	100	5	19	959.7318951	11	27	
12	3	2	1	1	4	100	5	29	1140.874232	13	28	
12	3	2	1	1	4	200	1	9	573.4777287	9	61	
12	3	2	1	1	4	200	1	19	733.6659288	12	65	
12	3	2	1	1	4	200	1	29	877.8133811	14	67	
12	3	2	1	1	4	200	3	9	834.3074318	8	33	
12	3	2	1	1	4	200	3	19	1035.227407	11	36	
12	3	2	1	1	4	200	3	29	1200.738933	13	38	
12	3	2	1	1	4	200	5	9	957.0755891	5	29	
12	3	2	1	1	4	200	5	19	1211.740853	9	33	
12	3	2	1	1	4	200	5	29	1404.632338	11	35	
12	3	2	2	1	3	50	1	9	402.733974	15	39	
12	3	2	2	1	3	50	1	19	601.794906	17	42	
12	3	2	2	1	3	50	1	29	791.3938272	18	43	
12	3	2	2	1	3	50	3	9	546.2805614	12	27	
12	3	2	2	1	3	50	3	19	781.9254017	15	30	
12	3	2	2	1	3	50	3	29	991.1594008	17	31	
12	3	2	2	1	3	50	5	9	626.4363349	11	24	
12	3	2	2	1	3	50	5	19	894.5809168	14	26	
12	3	2	2	1	3	50	5	29	1122.775435	16	27	
12	3	2	2	1	3	100	1	9	503.7847111	13	40	
12	3	2	2	1	3	100	1	19	703.862464	16	43	
12	3	2	2	1	3	100	1	29	894.0228689	18	44	
12	3	2	2	1	3	100	3	9	680.0336101	10	33	
12	3	2	2	1	3	100	3	19	926.4587923	14	35	
12	3	2	2	1	3	100	3	29	1139.679815	15	36	
12	3	2	2	1	3	100	5	9	783.4137714	9	26	
12	3	2	2	1	3	100	5	19	1064.341671	13	29	
12	3	2	2	1	3	100	5	29	1297.344706	15	30	
12	3	2	2	1	3	200	1	9	619.695329	11	63	
12	3	2	2	1	3	200	1	19	830.4142904	14	67	
12	3	2	2	1	3	200	1	29	1024.864554	16	69	
12	3	2	2	1	3	200	3	9	882.9421287	10	35	
12	3	2	2	1	3	200	3	19	1135.637715	13	38	
12	3	2	2	1	3	200	3	29	1352.53603	15	40	
12	3	2	2	1	3	200	5	9	1006.636619	7	31	
12	3	2	2	1	3	200	5	19	1313.909295	11	35	
12	3	2	2	1	3	200	5	29	1558.67047	13	37	
12	3	2	3	1	2	50	1	9	449.8813269	17	42	
12	3	2	3	1	2	50	1	19	699.5440624	19	44	
12	3	2	3	1	2	50	1	29	939.6085817	21	45	
12	3	2	3	1	2	50	3	9	596.3745155	14	30	
12	3	2	3	1	2	50	3	19	884.0784982	17	32	
12	3	2	3	1	2	50	3	29	1144.518815	19	33	
12	3	2	3	1	2	50	5	9	678.8153241	13	26	
12	3	2	3	1	2	50	5	19	1000.410524	16	28	
12	3	2	3	1	2	50	5	29	1280.271282	18	29	
12	3	2	3	1	2	100	1	9	550.8556591	15	43	
12	3	2	3	1	2	100	1	19	801.5583713	18	45	
12	3	2	3	1	2	100	1	29	1041.990972	20	47	
12	3	2	3	1	2	100	3	9	728.9402267	12	36	
12	3	2	3	1	2	100	3	19	1027.38769	16	38	
12	3	2	3	1	2	100	3	29	1291.833668	17	39	
12	3	2	3	1	2	100	5	9	834.5551968	11	29	
12	3	2	3	1	2	100	5	19	1168.576927	15	31	
12	3	2	3	1	2	100	5	29	1453.610756	17	32	
12	3	2	3	1	2	200	1	9	665.9072749	13	65	
12	3	2	3	1	2	200	1	19	927.1489421	17	69	
12	3	2	3	1	2	200	1	29	1171.91659	18	71	
12	3	2	3	1	2	200	3	9	931.5439056	12	37	
12	3	2	3	1	2	200	3	19	1235.913531	15	41	
12	3	2	3	1	2	200	3	29	1503.959305	17	42	
12	3	2	3	1	2	200	5	9	1056.176931	9	33	
12	3	2	3	1	2	200	5	19	1415.981496	13	37	
12	3	2	3	1	2	200	5	29	1712.511717	15	39	
12	3	2	4	1	1	50	1	9	496.9496718	19	44	
12	3	2	4	1	1	50	1	19	797.2683775	22	46	
